"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет, что при создании заказа без авторизации сервер возвращает ошибку","228","Ошибка при попытке создания заказа с ингредиентами неавторизованным пользователем","API тесты Stellar Burger","Fri Oct 03 15:49:04 CEST 2025","failed","Fri Oct 03 15:49:05 CEST 2025","Создание заказа","Заказы","",""
"Тест проверяет, что при попытке логина с неверным email или password API возвращает код 401 и корректное сообщение об ошибке.","298","Ошибка при логине пользователя с неверным email или паролем","API тесты Stellar Burger","Fri Oct 03 15:49:12 CEST 2025","passed","Fri Oct 03 15:49:12 CEST 2025","Авторизация пользователя","Пользователь","",""
"Тест проверяет, что заказ не может быть создан успешно, если передан неверный хеш ингредиента","221","Ошибка при попытке создания заказа неверным хешем ингредиента","API тесты Stellar Burger","Fri Oct 03 15:49:07 CEST 2025","passed","Fri Oct 03 15:49:07 CEST 2025","Создание заказа","Заказы","",""
"Тест проверяет, что при попытке зарегистрировать пользователя без обязательного поля (email, password, name) API возвращает код 403 и корректное сообщение об ошибке","219","Ошибка при регистрации пользователя с отсутствующим обязательным полем","API тесты Stellar Burger","Fri Oct 03 15:49:17 CEST 2025","passed","Fri Oct 03 15:49:17 CEST 2025","Создание пользователя","Пользователь","",""
"Тест проверяет успешную регистрацию нового пользователя через API Stellar Burgers","308","Успешная регистрация нового пользователя","API тесты Stellar Burger","Fri Oct 03 15:49:13 CEST 2025","passed","Fri Oct 03 15:49:13 CEST 2025","Создание пользователя","Пользователь","",""
"Тест проверяет, что при попытке логина с неверным email или password API возвращает код 401 и корректное сообщение об ошибке.","219","Ошибка при логине пользователя с неверным email или паролем","API тесты Stellar Burger","Fri Oct 03 15:49:10 CEST 2025","passed","Fri Oct 03 15:49:11 CEST 2025","Авторизация пользователя","Пользователь","",""
"Тест проверяет, что заказ с ингредиентами успешно создан для авторизованного пользователя","2823","Успешное создание нового заказа с ингредиентами авторизованным пользователем","API тесты Stellar Burger","Fri Oct 03 15:49:00 CEST 2025","passed","Fri Oct 03 15:49:03 CEST 2025","Создание заказа","Заказы","",""
"Тест проверяет, что при попытке зарегистрировать пользователя с данными, которые уже есть в системе, API возвращает статус-код 403 и сообщение об ошибке","223","Регистрация пользователя, который уже существует","API тесты Stellar Burger","Fri Oct 03 15:49:15 CEST 2025","passed","Fri Oct 03 15:49:15 CEST 2025","Создание пользователя","Пользователь","",""
"Тест проверяет, что при попытке зарегистрировать пользователя без обязательного поля (email, password, name) API возвращает код 403 и корректное сообщение об ошибке","219","Ошибка при регистрации пользователя с отсутствующим обязательным полем","API тесты Stellar Burger","Fri Oct 03 15:49:16 CEST 2025","passed","Fri Oct 03 15:49:16 CEST 2025","Создание пользователя","Пользователь","",""
"Тест проверяет, что после регистрации пользователя можно успешно выполнить логин с передачей всех обязательных полей (email, password)","299","Успешная авторизация существующего пользователя","API тесты Stellar Burger","Fri Oct 03 15:49:09 CEST 2025","passed","Fri Oct 03 15:49:09 CEST 2025","Авторизация пользователя","Пользователь","",""
"Тест проверяет, что заказ не может быть создан успешно без ингредиентов","220","Ошибка при попытке создания заказа авторизованным пользователем без ингредиентов","API тесты Stellar Burger","Fri Oct 03 15:49:05 CEST 2025","passed","Fri Oct 03 15:49:06 CEST 2025","Создание заказа","Заказы","",""
"Тест проверяет, что при попытке зарегистрировать пользователя без обязательного поля (email, password, name) API возвращает код 403 и корректное сообщение об ошибке","220","Ошибка при регистрации пользователя с отсутствующим обязательным полем","API тесты Stellar Burger","Fri Oct 03 15:49:17 CEST 2025","passed","Fri Oct 03 15:49:17 CEST 2025","Создание пользователя","Пользователь","",""
